id,trader,estimator,features_used,target_used,normalizer,optimizer,learning_rate,criterion,eps_scheduler,epsilon,epsilon_final,epsilon_decay,action_space,window_size,batch_size,n_episodes,replay_size,sync_steps,prob_alpha,beta_start,train_profit,valid_profit,train_reward,valid_reward,observation
49,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.99,3,10,32,1000,1000,1000,0.6,0.4,-7.598,238.93900000000002,0.02,2.375,Use all features from features_used field
50,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.99,3,15,32,1000,1000,1000,0.6,0.4,102.261,582.395,0.138,3.0010000000000003,Use all features from features_used field
51,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,5,32,1000,1000,1000,0.6,0.4,1668.336,836.32,1.896,3.4130000000000003,Use all features from features_used field
52,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,1000,1000,0.6,0.4,1144.579,528.984,1.3019999999999998,2.099,Use all features from features_used field
53,DQNVanilla,BiGRUAttentionEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,15,32,1000,1000,1000,0.6,0.4,653.438,18.727999999999998,0.9540000000000001,1.6219999999999999,Use all features from features_used field
54,DQNVanilla,CNNEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.9,3,10,32,1000,1000,1000,0.6,0.4,1049.255,780.07,1.249,3.616,Use all features from features_used field
55,DQNVanilla,CNNEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.99,3,10,32,1000,1000,1000,0.6,0.4,1096.09,790.193,1.26,3.4160000000000004,Use all features from features_used field
56,DQNVanilla,CNNEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,1000,1000,0.6,0.4,621.097,1052.179,0.75,4.747,Use all features from features_used field
57,DQNVanilla,CNNEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0005,MSELoss,EpsilonScheduler,1,0.01,0.9,3,10,32,1000,1000,1000,0.6,0.4,1923.81,870.257,2.298,4.079,Use all features from features_used field
58,DQNVanilla,CNNEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0005,MSELoss,EpsilonScheduler,1,0.01,0.99,3,10,32,1000,1000,1000,0.6,0.4,265.524,408.898,0.417,2.301,Use all features from features_used field
59,DQNVanilla,CNNEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0005,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,1000,1000,0.6,0.4,57.873999999999995,906.638,0.113,4.101,Use all features from features_used field
60,DQNVanilla,CNNEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.9,3,10,32,1000,1000,1000,0.6,0.4,630.26,1153.399,0.764,4.928,Use all features from features_used field
61,DQNVanilla,CNNEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.99,3,10,32,1000,1000,1000,0.6,0.4,990.081,491.12300000000016,1.2,2.87,Use all features from features_used field
62,DQNVanilla,CNNEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.0001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,1000,1000,0.6,0.4,-1.088,621.0790000000002,0.001,2.742,Use all features from features_used field
63,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.9,3,5,32,1000,1000,1000,0.6,0.4,1088.147,857.073,1.453,3.9130000000000003,Use all features from features_used field
64,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.9,3,10,32,1000,1000,1000,0.6,0.4,283.504,634.394,0.645,2.82,Use all features from features_used field
65,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.9,3,15,32,1000,1000,1000,0.6,0.4,1694.269,708.7639999999999,2.126,3.387,Use all features from features_used field
66,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.99,3,5,32,1000,1000,1000,0.6,0.4,3609.31,731.424,4.13,3.372,Use all features from features_used field
67,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.99,3,10,32,1000,1000,1000,0.6,0.4,1511.19,752.956,1.933,3.509,Use all features from features_used field
68,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.99,3,15,32,1000,1000,1000,0.6,0.4,4129.183,969.895,4.71,4.287,Use all features from features_used field
69,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,5,32,1000,1000,1000,0.6,0.4,1304.41,833.6419999999997,1.6569999999999998,3.8810000000000002,Use all features from features_used field
70,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,10,32,1000,1000,1000,0.6,0.4,-0.958,324.466,0.027000000000000003,1.891,Use all features from features_used field
71,DQNFixedTargets,BaseEstimator,['adj_close'],adj_close,['sigmoid'],AdamW,0.001,MSELoss,EpsilonScheduler,1,0.01,0.995,3,15,32,1000,1000,1000,0.6,0.4,2862.7129999999997,693.288,3.281,3.5989999999999998,Use all features from features_used field
